27344	2247130	2	
27344	2247130	4	
27344	2247130	2	
27344	2247130	4	
27344	2247130	2	
27344	2247130	4	
27344	2247130	2	
27344	2247130	4	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	2	
27344	2247130	3	
27344	2247130	4	
27344	2247130	2	
27344	2247130	3	
27344	2247130	41	
27344	2247130	42	
27344	2247130	2	
27344	2247130	3	
27344	2247130	1	
27345	2247130	2	
27345	2247130	4	
27345	2247130	2	
27345	2247130	4	
27345	2247130	2	
27345	2247130	4	
27345	2247130	2	
27345	2247130	4	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	2	
27345	2247130	3	
27345	2247130	4	
27345	2247130	2	
27345	2247130	3	
27345	2247130	41	
27345	2247130	42	
27345	2247130	2	
27345	2247130	3	
27345	2247130	1	
27346	2247130	2	
27346	2247130	4	
27346	2247130	2	
27346	2247130	4	
27346	2247130	2	
27346	2247130	4	
27346	2247130	2	
27346	2247130	4	
27346	2247130	2	
27346	2247130	3	
27346	2247130	2	
27346	2247130	3	
27346	2247130	2	
27346	2247130	3	
27346	2247130	2	
27346	2247130	3	
27346	2247130	2	
27346	2247130	3	
